abbrev,correct title,title1_votes,title1,title2,title3,correct url,url1_votes,url1,url2,url3
LITH MATH J,lithuanian mathematical journal,3,lithuanian mathematical journal,,,http://www.springer.com/mathematics/journal/10986/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/10986/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/10986,
PERIOD MATH HUNG,periodica mathematica hungarica,2,periodica mathematica hungarica periodica mathematica hungarica,periodica mathematica hungarica,,http://www.springer.com/mathematics/journal/10998?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/10998?detailsPage=editorialBoard,http://www.springer.com/cda/content/document/cda_downloaddocument/Editorial+Board.pdf,
MATH NOTES+,mathematical notes,3,mathematical notes,,,http://www.springer.com/mathematics/journal/11006?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11006?detailsPage=editorialBoard,http://www.springer.com/journal/11006/edboard,
OPTIM ENG,optimization and engineering,3,optimization and engineering,,,http://www.springer.com/mathematics/journal/11081/PS2?detailsPage=editorialBoard,1,http://www.springer.com/mathematics/journal/11081/PS2?detailsPage=editorialBoard,http://link.springer.com/journal/11081,
SIBERIAN MATH J+,siberian mathematical journal,3,siberian mathematical journal,,,http://www.springer.com/mathematics/journal/11202?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11202?detailsPage=editorialBoard,http://www.maik.ru/en/journal/simj/,
UKR MATH J+,ukrainian mathematical journal,3,ukrainian mathematical journal,,,http://www.springer.com/mathematics/journal/11253/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11253/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/journal/11253,
CHINESE ANN MATH B,"chinese annals of mathematics, series b",3,"chinese annals of mathematics, series b",,,http://www.springer.com/mathematics/journal/11401/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11401,http://www.springer.com/mathematics/journal/11401/PS2?detailsPage=editorialBoard,
FRONT MATH CHINA,frontiers of mathematics in china,3,frontiers of mathematics in china,,,http://www.springer.com/mathematics/journal/11464?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11464?detailsPage=editorialBoard,http://journal.hep.com.cn/fmc/EN/column/column9254.shtml,
DOKL MATH,doklady mathematics,3,doklady mathematics,,,http://www.springer.com/mathematics/journal/11472?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/journal/11472?detailsPage=editorialBoard,,
P STEKLOV I MATH+,proceedings of the steklov institute of mathematics,2,proceedings of the steklov institute of mathematics,proceedings of the steklov institute of mathematics proceedings of the steklov institute of mathematics,,http://www.springer.com/mathematics/journal/11501?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/journal/11501?detailsPage=editorialBoard,http://www.journal-database.com/journal/proceedings-of-the-steklov-institute-of-mathematics.html,
