abbrev,correct title,title1_votes,title1,title2,title3,correct url,url1_votes,url1,url2,url3
ELECTRON J QUAL THEO,electronic journal of qualitative theory of differential equations,3,electronic journal of qualitative theory of differential equations,,,http://www.math.u-szeged.hu/ejqtde/periodica.html?param_ertek=1&paramtipus_ertek=editors&periodica=1,3,http://www.math.u-szeged.hu/ejqtde/periodica.html?param_ertek=1&paramtipus_ertek=editors&periodica=1,,
INT J NUMER ANAL MOD,international journal of numerical analysis and modeling,3,international journal of numerical analysis and modeling,,,http://www.math.ualberta.ca/ijnam/editors.htm,2,http://www.math.ualberta.ca/ijnam/editors.htm,,
FIXED POINT THEOR-RO,fixed point theory,1,fixed point theory,fixed point theory and applications,fixed   point  theory,http://www.math.ubbcluj.ro/~nodeacj/editorial_board.htm,1,http://www.math.ubbcluj.ro/~nodeacj/editorial_board.htm,http://www.springer.com/mathematics/analysis/journal/13663,
DOC MATH,documenta mathematica,3,documenta mathematica,,,http://www.math.uiuc.edu/documenta/stab.html,1,http://www.math.uiuc.edu/documenta/,ftp://ftp.gwdg.de/pub/EMIS/journals/DMJDMV/stab-eng.html,http://www.math.uiuc.edu/documenta/stab.html
J OPERAT THEOR,journal of operator theory,2,journal of operator theory,the journal of operator theory,,http://www.mathjournals.org/jot/editorial.pdf,2,http://www.mathjournals.org/jot/editorial.pdf,http://www.theta.ro/jot.html,
MOSC MATH J,moscow mathematical journal,3,moscow mathematical journal,,,http://www.mathjournals.org/mmj/editorial.pdf,3,http://www.mathjournals.org/mmj/editorial.pdf,,
MATH COMMUN,mathematical communications,2,mathematical communications,communications in mathematical physics,,http://www.mathos.unios.hr/mc/index.php/mc/about/editorialTeam,2,http://www.mathos.unios.hr/mc/index.php/mc/about/editorialTeam,http://link.springer.com/journal/220,
INFORMATICA-LITHUAN,informatica,2,informatica,informatica international journal,,http://www.mii.lt/informatica/editors.htm,3,http://www.mii.lt/informatica/editors.htm,,
NONLINEAR ANAL-MODEL,nonlinear analysis: modelling and control,1,"nonlinear analysis: theory, methods & applications",nonlinear analysis: modelling and control,lithuanian association of nonlinear analysts,http://www.mii.lt/NA/,1,http://www.mii.lt/NA/,http://www.journals.elsevier.com/nonlinear-analysis-theory-methods-and-applications/editorial-board/,http://www.lana.lt/journal/
MATH MODEL NAT PHENO,mathematical modelling of natural phenomena,3,mathematical modelling of natural phenomena,,,http://www.mmnp-journal.org/about-the-journal/editorial-board,3,http://www.mmnp-journal.org/about-the-journal/editorial-board,,
MATH SCAND,mathematica scandinavica,3,mathematica scandinavica,,,http://www.mscand.dk/about/editorialTeam,2,http://www.mscand.dk/about/editorialTeam,http://www.mscand.dk/,
J CELL AUTOM,journal of cellular automata,3,journal of cellular automata,,,http://www.oldcitypublishing.com/journals/jca-home/jca-editorial-board/,2,http://www.oldcitypublishing.com/journals/jca-home/jca-editorial-board/,http://www.oldcitypublishing.com/wp-content/uploads/2013/09/JCA-call-for-papers-2014.pdf,
BRIEF BIOINFORM,briefings in bioinformatics,3,briefings in bioinformatics,,,http://www.oxfordjournals.org/our_journals/bib/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/bib/editorial_board.html,http://bib.oxfordjournals.org/,
BIOINFORMATICS,bioinformatics,3,bioinformatics,,,http://www.oxfordjournals.org/our_journals/bioinformatics/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/bioinformatics/editorial_board.html,http://bioinformatics.oxfordjournals.org/,
BIOMETRIKA,biometrika,2,biometrika,biometrika: oxford journals,,http://www.oxfordjournals.org/our_journals/biomet/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/biomet/editorial_board.html,http://biomet.oxfordjournals.org/,
DATABASE-OXFORD,database: the journal of biological databases and curation,3,database: the journal of biological databases and curation,,,http://www.oxfordjournals.org/our_journals/databa/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/databa/editorial_board.html,http://database.oxfordjournals.org/,
LOG J IGPL,logic journal of the igpl,2,logic journal of the igpl,logic journal of the igpl impact factor,,http://www.oxfordjournals.org/our_journals/igpl/editorial_board.html,3,http://www.oxfordjournals.org/our_journals/igpl/editorial_board.html,,
IMA J MANAG MATH,ima journal of management mathematics,3,ima journal of management mathematics,,,http://www.oxfordjournals.org/our_journals/imaman/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/imaman/editorial_board.html,http://www.oxfordjournals.org/imaman/editorial_board.html,
IMA J APPL MATH,ima journal of applied mathematics,3,ima journal of applied mathematics,,,http://www.oxfordjournals.org/our_journals/imamat/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/imamat/editorial_board.html,http://imamat.oxfordjournals.org/,
IMA J MATH CONTROL I,ima journal of mathematical control and information,3,ima journal of mathematical control and information,,,http://www.oxfordjournals.org/our_journals/imamci/editorial_board.html,3,http://www.oxfordjournals.org/our_journals/imamci/editorial_board.html,,
MATH MED BIOL,mathematical medicine and biology,3,mathematical medicine and biology,,,http://www.oxfordjournals.org/our_journals/imammb/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/imammb/editorial_board.html,http://imammb.oxfordjournals.org/,
IMA J NUMER ANAL,ima journal of numerical analysis,3,ima journal of numerical analysis,,,http://www.oxfordjournals.org/our_journals/imanum/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/imanum/editorial_board.html,http://www.oxfordjournals.org/imanum/editorial_board.html,
INT MATH RES NOTICES,international mathematics research notices,3,international mathematics research notices,,,http://www.oxfordjournals.org/our_journals/imrn/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/imrn/editorial_board.html,http://imrn.oxfordjournals.org/content/current,
J TOPOL,journal of topology,3,journal of topology,,,http://www.oxfordjournals.org/our_journals/jtopol/editorial_board.html,3,http://www.oxfordjournals.org/our_journals/jtopol/editorial_board.html,,
Q J MECH APPL MATH,the quarterly journal of mechanics and applied mathematics,2,the quarterly journal of mechanics and applied mathematics,quarterly journal of mechanics and applied mathematics,,http://www.oxfordjournals.org/our_journals/qjmamj/editorial_board.html,3,http://www.oxfordjournals.org/our_journals/qjmamj/editorial_board.html,,
Q J MATH,quarterly journal of mathematics,2,quarterly journal of mathematics: oxford journals,quarterly journal of mathematics,,http://www.oxfordjournals.org/our_journals/qmathj/editorial_board.html,2,http://www.oxfordjournals.org/our_journals/qmathj/editorial_board.html,http://qjmath.oxfordjournals.org/,
FILOMAT,filomat,3,filomat,,,http://www.pmf.ni.ac.rs/pmf/publikacije/filomat/editorial_board.php,3,http://www.pmf.ni.ac.rs/pmf/publikacije/filomat/editorial_board.php,,
AM J MATH,american journal of mathematics,2,american journal of mathematics,the american journal of mathematics,,http://www.press.jhu.edu/journals/american_journal_of_mathematics/editorial.html,2,http://www.press.jhu.edu/journals/american_journal_of_mathematics/editorial.html,http://www.press.jhu.edu/journals/american_journal_of_mathematics/,
J RAMANUJAN MATH SOC,journal of the ramanujan mathematical society,1,journal of the rms - ramanujan mathematical society,ramanujan mathematical society,journal of the ramanujan mathematical society,http://www.ramanujanmathsociety.org/committees/jrms-editorial-board,1,http://www.ramanujanmathsociety.org/committees/jrms-editorial-board,http://www.ramanujanmathsociety.org/committees/lecture-notes-series-editorial-board,http://www.ramanujanmathsociety.org/committees/editorial-board-of-mathematics-newsletter
ECONOMET J,econometrics journal,1,econometrics journal,the journal of econometrics,journal of econometrics,http://www.res.org.uk/view/editorialEconometrics.html,2,http://www.journals.elsevier.com/journal-of-econometrics/editorial-board/,http://www.researchgate.net/journal/1368-4221_Econometrics_Journal,
J GREY SYST-UK,the journal of grey system,3,the journal of grey system,,,http://www.researchinformation.co.uk/grey.php,3,http://www.researchinformation.co.uk/grey.php,,
J SYMB COMPUT,journal of symbolic computation,3,journal of symbolic computation,,,http://www.sciencedirect.com/science/article/pii/S0747717115001194,2,http://www.sciencedirect.com/science/article/pii/S0747717115001194,http://www.journals.elsevier.com/journal-of-symbolic-computation/editorial-board/,
MATH COMPUT MODEL,mathematical and computer modelling,3,mathematical and computer modelling,,,http://www.sciencedirect.com/science/article/pii/S0895717713002744,1,http://www.sciencedirect.com/science/article/pii/S0895717713002744,,
ANAL APPL,analysis and applications,2,journal of mathematical analysis and applications,journal of analytical and applied pyrolysis,,http://www.sciencedirect.com/science/journal/0022247X,1,http://www.journals.elsevier.com/journal-of-analytical-and-applied-pyrolysis/editorial-board/,http://www.sciencedirect.com/science/journal/0022247X,http://www.journals.elsevier.com/journal-of-mathematical-analysis-and-applications/editorial-board/
U POLITEH BUCH SER A,university politehnica of bucharest scientific bulletin series a,1,university politehnica of bucharest scientific bulletin-series,universitatea politehnica bucuresti buletin stiintific,university politehnica of bucharest scientific bulletin-series a,http://www.scientificbulletin.upb.ro/SeriaA_-_Matematica_si_fizica_aplicate.php?page=colegiul2,2,http://www.scientificbulletin.upb.ro/SeriaA_-_Matematica_si_fizica_aplicate.php?page=colegiul2,,
MULTISCALE MODEL SIM,multiscale modeling and simulation,1,multiscale modeling and simulation,multiscale modeling & simulation,multiscale modeling and simulation: a siam interdisciplinary journal,http://www.siam.org/journals/mms/board.php,3,http://www.siam.org/journals/mms/board.php,,
SIAM J APPL DYN SYST,siam journal on applied dynamical systems,3,siam journal on applied dynamical systems,,,http://www.siam.org/journals/siads/board.php,2,http://www.siam.org/journals/siads.php,http://www.siam.org/journals/siads/board.php,
SIAM J COMPUT,siam journal on computing,1,siam journal on scientific computing (sisc),siam journal on computing (sicomp),siam journal on computing,http://www.siam.org/journals/sicomp/board.php,2,http://www.siam.org/journals/sicomp/board.php,http://www.siam.org/journals/sisc/board.php,
SIAM J MATH ANAL,siam journal on mathematical analysis,3,siam journal on mathematical analysis,,,http://www.siam.org/journals/sima/board.php,2,http://www.siam.org/journals/sima/board.php,http://www.siam.org/journals/sinum/board.php,
SIAM J MATRIX ANAL A,siam journal on matrix analysis and applications,2,siam journal on matrix analysis and applications,society for industrial and applied mathematics journal on matrix analysis and applications,,http://www.siam.org/journals/simax/board.php,2,http://epubs.siam.org/journal/sjmael,http://www.siam.org/journals/simax/board.php,
SIAM J NUMER ANAL,siam journal on numerical analysis,1,siam journal on numerical analysis,"journal of the society for industrial & applied mathematics, series b: numerical analysis",the siam journal on numerical analysis,http://www.siam.org/journals/sinum/board.php,1,http://epubs.siam.org/journal/sjnaam,http://en.wikipedia.org/wiki/SIAM_Journal_on_Numerical_Analysis,http://epubs.siam.org/journal/sjmael
SIAM REV,siam review,2,siam review,society for industrial and applied mathemathics review,,http://www.siam.org/journals/sirev/board.php,2,http://www.siam.org/journals/sirev/board.php,http://www.siam.org/journals/sirev.php,
CELEST MECH DYN ASTR,celestial mechanics and dynamical astronomy,3,celestial mechanics and dynamical astronomy,,,http://www.springer.com/astronomy/astrophysics+and+astroparticles/journal/10569/PS2?detailsPage=editorialBoard,2,http://www.springer.com/astronomy/astrophysics+and+astroparticles/journal/10569/PS2?detailsPage=editorialBoard,http://www.springer.com/astronomy/astrophysics+and+astroparticles/journal/10569/ps2?detailspage=editorialboard,
MED BIOL ENG COMPUT,medical & biological engineering & computing,3,medical & biological engineering & computing,,,http://www.springer.com/biomed/human+physiology/journal/11517/PS2?detailsPage=editorialBoard,2,http://www.springer.com/biomed/human+physiology/journal/11517/PS2?detailsPage=editorialBoard,http://www.springer.com/biomed/human+physiology/journal/11517?detailsPage=editorialBoard,
THEOR BIOSCI,theory in biosciences,3,theory in biosciences,,,http://www.springer.com/biomed/journal/12976?detailsPage=editorialBoard,2,http://www.springer.com/life+sciences/evolutionary+&+developmental+biology/journal/12064?detailsPage=editorialBoard,http://www.springer.com/journal/12064/edboard,
J COMPUT NEUROSCI,journal of computational neuroscience,3,journal of computational neuroscience,,,http://www.springer.com/biomed/neuroscience/journal/10827/PS2?detailsPage=editorialBoard,2,http://www.springer.com/biomed/neuroscience/journal/10827,http://www.springer.com/biomed/neuroscience/journal/10827/PS2?detailsPage=editorialBoard,
COMPUT COMPLEX,computational complexity,2,computational complexity,birkhÃ¤user basel computational complexity,,http://www.springer.com/birkhauser/computer+science/journal/37?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/computer+science/journal/37?detailsPage=editorialBoard,,
Z ANGEW MATH PHYS,zeitschrift fÃ¼r angewandte mathematik und physik,3,zeitschrift fÃ¼r angewandte mathematik und physik,,,http://www.springer.com/birkhauser/engineering/journal/33?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/engineering/journal/33?detailsPage=editorialBoard,,
AEQUATIONES MATH,aequationes mathematicae,3,aequationes mathematicae,,,http://www.springer.com/birkhauser/mathematics/journal/10?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/10?detailsPage=editorialBoard,http://www.springer.com/birkhauser/mathematics/journal/10,
POSITIVITY,positivity,2,positivity,positivity an international mathematics journal devoted to theory and applications of positivity,,http://www.springer.com/birkhauser/mathematics/journal/11117?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/11117?detailsPage=editorialBoard,http://link.springer.com/journal/11117,
J FIX POINT THEORY A,journal of fixed point theory and applications,2,journal of fixed point theory and applications,journal of fixed point theory and its applications,,http://www.springer.com/birkhauser/mathematics/journal/11784?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/11784,http://www.springer.com/birkhauser/mathematics/journal/11784?detailsPage=editorialBoard,
COMPLEX ANAL OPER TH,complex analysis and operator theory,3,complex analysis and operator theory,,,http://www.springer.com/birkhauser/mathematics/journal/11785?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/11785?detailsPage=editorialBoard,http://link.springer.com/journal/volumesAndIssues/11785,
J PSEUDO-DIFFER OPER,journal of pseudo-differential operators and applications,3,journal of pseudo-differential operators and applications,,,http://www.springer.com/birkhauser/mathematics/journal/11868?detailsPage=editorialBoard,1,http://www.springer.com/birkhauser/mathematics/journal/11868,http://link.springer.com/journal/11868,http://www.springer.com/birkhauser/mathematics/journal/11868?detailsPage=editorialBoard
QUAL THEOR DYN SYST,qualitative theory of dynamical systems,3,qualitative theory of dynamical systems,,,http://www.springer.com/birkhauser/mathematics/journal/12346?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/mathematics/journal/12346?detailsPage=editorialBoard,,
ALGEBR UNIV,algebra universalis,2,algebra universalis,,,http://www.springer.com/birkhauser/mathematics/journal/12?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/12?detailsPage=editorialBoard,,
ANAL MATH PHYS,analysis and mathematical physics,3,analysis and mathematical physics,,,http://www.springer.com/birkhauser/mathematics/journal/13324?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/13324?detailsPage=editorialBoard,http://link.springer.com/journal/13324,
ARCH MATH,archiv der mathematik,3,archiv der mathematik,,,http://www.springer.com/birkhauser/mathematics/journal/13?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/13?detailsPage=editorialBoard,http://www.springer.com/birkhauser/mathematics/journal/13,
INTEGR EQUAT OPER TH,integral equations and operator theory,3,integral equations and operator theory,,,http://www.springer.com/birkhauser/mathematics/journal/20?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/mathematics/journal/20?detailsPage=editorialBoard,,
RESULTS MATH,results in mathematics,3,results in mathematics,,,http://www.springer.com/birkhauser/mathematics/journal/25?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/25?detailsPage=editorialBoard,http://www.springer.com/birkhauser/mathematics/journal/25,
ANN COMB,annals of combinatorics,3,annals of combinatorics,,,http://www.springer.com/birkhauser/mathematics/journal/26?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/26?detailsPage=editorialBoard,http://www.combinatorics.net/Annals/EditorialBoard.aspx,
J EVOL EQU,journal of evolution equations,3,journal of evolution equations,,,http://www.springer.com/birkhauser/mathematics/journal/28?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/28?detailsPage=editorialBoard,,
SEL MATH-NEW SER,selecta mathematica-new series,1,selecta mathematica,selecta mathematica new series,selecta mathematica - new series,http://www.springer.com/birkhauser/mathematics/journal/29?detailsPage=editorialBoard,2,http://www.springer.com/birkhauser/mathematics/journal/29?detailsPage=editorialBoard,http://link.springer.com/journal/29,
NODEA-NONLINEAR DIFF,nodea-nonlinear differential equations and applications,2,nodea-nonlinear differential equations and applications,nonlinear differential equations and applications nodea,,http://www.springer.com/birkhauser/mathematics/journal/30?detailsPage=editorialBoard,2,http://libra.msra.cn/Journal/7327/nodea-nonlinear-differ-equ-ap-nodea-nonlinear-differential-equations-and-applications,http://www.springer.com/birkhauser/mathematics/journal/30?detailsPage=editorialBoard,
MILAN J MATH,milan journal of mathematics,3,milan journal of mathematics,,,http://www.springer.com/birkhauser/mathematics/journal/32?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/mathematics/journal/32?detailsPage=editorialBoard,,
GEOM FUNCT ANAL,geometric and functional analysis,3,geometric and functional analysis,,,http://www.springer.com/birkhauser/mathematics/journal/39?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/mathematics/journal/39?detailsPage=editorialBoard,,
MEDITERR J MATH,mediterranean journal of mathematics,3,mediterranean journal of mathematics,,,http://www.springer.com/birkhauser/mathematics/journal/9?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/mathematics/journal/9?detailsPage=editorialBoard,,
J MATH FLUID MECH,journal of mathematical fluid mechanics,3,journal of mathematical fluid mechanics,,,http://www.springer.com/birkhauser/physics/journal/21?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/physics/journal/21?detailsPage=editorialBoard,,
ADV APPL CLIFFORD AL,advances in applied clifford algebras,3,advances in applied clifford algebras,,,http://www.springer.com/birkhauser/physics/journal/6?detailsPage=editorialBoard,3,http://www.springer.com/birkhauser/physics/journal/6?detailsPage=editorialBoard,,
J MATH CHEM,the journal of mathematical chemistry,1,the journal of mathematical chemistry,j math chem,journal of mathematical chemistry,http://www.springer.com/chemistry/physical+chemistry/journal/10910/PS2?detailsPage=editorialBoard,3,http://www.springer.com/chemistry/physical+chemistry/journal/10910/PS2?detailsPage=editorialBoard,,
ANN MATH ARTIF INTEL,annals of mathematics and artificial intelligence,3,annals of mathematics and artificial intelligence,,,http://www.springer.com/computer/ai/journal/10472/PS2?detailsPage=editorialBoard,3,http://www.springer.com/computer/ai/journal/10472/PS2?detailsPage=editorialBoard,,
J MATH IMAGING VIS,journal of mathematical imaging and vision,3,journal of mathematical imaging and vision,,,http://www.springer.com/computer/image+processing/journal/10851/PS2?detailsPage=editorialBoard,2,http://www.springer.com/computer/image+processing/journal/10851/PS2?detailsPage=editorialBoard,http://www.springer.com/computer/image+processing/journal/10851?detailsPage=editorialBoard,
CRYPTOGR COMMUN,cryptography and communications,1,cryptography and communications,"cryptography and communications discrete structures, boolean functions and sequences",cryptography and communications discrete structures,http://www.springer.com/computer/security+and+cryptology/journal/12095?detailsPage=editorialBoard,2,http://www.springer.com/computer/security+and+cryptology/journal/12095?detailsPage=editorialBoard,http://www.springer.com/computer/security+and+cryptology/journal/12095/PS2?detailsPage=editorialBoard,
NUMER ALGORITHMS,numerical algorithms,3,numerical algorithms,,,http://www.springer.com/computer/theoretical+computer+science/journal/11075?detailsPage=editorialBoard,1,http://www.springer.com/computer/theoretical+computer+science/journal/11075?detailsPage=editorialBoard,http://www.springer.com/computer/theoretical+computer+science/journal/11075/PS2?detailsPage=editorialBoard,
APPL ALGEBR ENG COMM,"applicable algebra in engineering, communication and computing",3,"applicable algebra in engineering, communication and computing",,,http://www.springer.com/computer/theoretical+computer+science/journal/200/PS2?detailsPage=editorialBoard,2,http://www.springer.com/computer/theoretical+computer+science/journal/200/PS2?detailsPage=editorialBoard,http://www.springer.com/computer/theoretical+computer+science/journal/200?detailsPage=editorialBoard,
THEOR COMPUT SYST,theory of computing systems,3,theory of computing systems,,,http://www.springer.com/computer/theoretical+computer+science/journal/224?detailsPage=editorialBoard,3,http://www.springer.com/computer/theoretical+computer+science/journal/224?detailsPage=editorialBoard,,
ALGORITHMICA,algorithmica,3,algorithmica,,,http://www.springer.com/computer/theoretical+computer+science/journal/453?detailsPage=editorialBoard,2,http://www.springer.com/computer/theoretical+computer+science/journal/453?detailsPage=editorialBoard,http://www.springer.com/journal/453/edboard,
COMPUT ECON,computational economics,3,computational economics,,,http://www.springer.com/economics/economic+theory/journal/10614/PS2?detailsPage=editorialBoard,1,http://www.springer.com/economics/economic+theory/journal/10614/PS2?detailsPage=editorialBoard,,
INT J GAME THEORY,international journal of game theory,3,international journal of game theory,,,http://www.springer.com/economics/economic+theory/journal/182/PS2?detailsPage=editorialBoard,1,http://www.springer.com/economics/economic+theory/journal/182/PS2?detailsPage=editorialBoard,http://www.springer.com/economics/economic+theory/journal/182/PSE?detailsPage=editorialBoard,http://www.springer.com/economics/economic+theory/journal/182?detailsPage=editorialBoard
STUD MATH,studia mathematica,2,educational studies in mathematics,studies in applied mathematics,,http://www.springer.com/education+&+language/mathematics+education/journal/10649/PS2?detailsPage=editorialBoard,2,http://www.springer.com/education+&+language/mathematics+education/journal/10649/PS2?detailsPage=editorialBoard,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9590/homepage/EditorialBoard.html,
ARCH COMPUT METHOD E,archives of computational methods in engineering,3,archives of computational methods in engineering,,,http://www.springer.com/engineering/computational+intelligence+and+complexity/journal/11831/PS2?detailsPage=editorialBoard,3,http://www.springer.com/engineering/computational+intelligence+and+complexity/journal/11831/PS2?detailsPage=editorialBoard,,
J DYN CONTROL SYST,journal of dynamical and control systems,3,journal of dynamical and control systems,,,http://www.springer.com/engineering/mechanics/journal/10883?detailsPage=editorialBoard,1,http://link.springer.com/journal/10883,http://www.springer.com/engineering/mechanics/journal/10883/PS2?detailsPage=editorialBoard,http://www.springer.com/engineering/mechanics/journal/10883?detailsPage=editorialBoard
COMPUT MECH,computational mechanics,3,computational mechanics,,,http://www.springer.com/engineering/mechanics/journal/466/PSE?detailsPage=editorialBoard,1,http://www.springer.com/engineering/mechanics/journal/466/PSE?detailsPage=editorialBoard,http://www.springer.com/engineering/mechanics/journal/466?detailsPage=editorialBoard,
PROBL INFORM TRANSM+,problems of information transmission,3,problems of information transmission,,,http://www.springer.com/engineering/signals/journal/11122?detailsPage=editorialBoard,3,http://www.springer.com/engineering/signals/journal/11122?detailsPage=editorialBoard,,
CALCOLO,calcolo,3,calcolo,,,http://www.springer.com/journal/10092/edboard,1,http://www.springer.com/journal/10092/edboard,http://www.springer.com/mathematics/computational+science+&+engineering/journal/10092?detailsPage=editorialBoard,
ANAL MATH,analysis mathematica,2,analysis mathematica,analysis and mathematical physics,,http://www.springer.com/journal/10476/edboard,1,http://www.springer.com/birkhauser/mathematics/journal/13324?detailsPage=editorialBoard,http://www.springer.com/journal/10476/edboard,http://www.springer.com/mathematics/analysis/journal/10476?detailsPage=editorialBoard
J GEOM ANAL,journal of geometric analysis,2,journal of geometric analysis,journal of geometric analysis impact factor,,http://www.springer.com/journal/12220/edboard,1,http://www.springer.com/journal/12220/edboard,http://www.springer.com/mathematics/geometry/journal/12220/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/geometry/journal/12220?detailsPage=editorialBoard
ENVIRON ECOL STAT,environmental and ecological statistics,3,environmental and ecological statistics,,,http://www.springer.com/life+sciences/ecology/journal/10651/PS2?detailsPage=editorialBoard,2,http://www.springer.com/life+sciences/ecology/journal/10651,http://www.springer.com/life+sciences/ecology/journal/10651?detailsPage=editorialBoard,
INTERDISCIP SCI,interdisciplinary sciences: computational life sciences,3,interdisciplinary sciences: computational life sciences,,,http://www.springer.com/life+sciences/systems+biology+and+bioinformatics/journal/12539?detailsPage=editorialBoard,3,http://www.springer.com/life+sciences/systems+biology+and+bioinformatics/journal/12539?detailsPage=editorialBoard,,
ALGEBR REPRESENT TH,algebras and representation theory,3,algebras and representation theory,,,http://www.springer.com/mathematics/algebra/journal/10468/PS2?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/algebra/journal/10468/PS2?detailsPage=editorialBoard,,
ALGEBR LOG+,algebra and logic,2,algebra and logic impact factor,algebra and logic,,http://www.springer.com/mathematics/algebra/journal/10469/PS2?detailsPage=editorialBoard,1,http://www.springer.com/mathematics/algebra/journal/10469,http://www.springerlink.com/openurl.asp?genre=journal&issn=0002-5232,
SEMIGROUP FORUM,semigroup forum,3,semigroup forum,,,http://www.springer.com/mathematics/algebra/journal/233?detailsPage=editorialBoard,1,http://www.springer.com/mathematics/algebra/journal/233,http://www.springer.com/mathematics/algebra/journal/233?detailsPage=editorialBoard,http://www.springer.com/mathematics/algebra/journal/233/PS2?detailsPage=editorialBoard
TRANSFORM GROUPS,transformation groups,3,transformation groups,,,http://www.springer.com/mathematics/algebra/journal/31?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/algebra/journal/31?detailsPage=editorialBoard,,
ANN GLOB ANAL GEOM,annals of global analysis and geometry,3,annals of global analysis and geometry,,,http://www.springer.com/mathematics/analysis/journal/10455/PS2?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/analysis/journal/10455/PS2?detailsPage=editorialBoard,,
FUNCT ANAL APPL+,functional analysis and its applications,3,functional analysis and its applications,,,http://www.springer.com/mathematics/analysis/journal/10688?detailsPage=editorialBoard,1,http://www.springer.com/mathematics/analysis/journal/10688/PS2?detailsPage=editorialBoard,http://journalseek.net/cgi-bin/journalseek/journalsearch.cgi?field=issn&query=0016-2663,
POTENTIAL ANAL,potential analysis,3,potential analysis,,,http://www.springer.com/mathematics/analysis/journal/11118?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/analysis/journal/11118?detailsPage=editorialBoard,,
SET-VALUED VAR ANAL,set-valued and variational analysis,3,set-valued and variational analysis,,,http://www.springer.com/mathematics/analysis/journal/11228?detailsPage=editorialBoard,1,http://www.springer.com/mathematics/analysis/journal/11228?detailsPage=editorialBoard,http://libra.msra.cn/Journal/7379/set-valued-var-anal-set-valued-and-variational-analysis,http://www.springer.com/mathematics/analysis/journal/11228/PS2?detailsPage=editorialBoard
J ANAL MATH,journal d'analyse mathématique,2,journal d'analyse mathÃ©matique,journal of mathematical analysis and applications,,http://www.springer.com/mathematics/analysis/journal/11854?detailsPage=editorialBoard,1,http://www.springer.com/mathematics/analysis/journal/11854,http://www.springer.com/mathematics/analysis/journal/11854?detailsPage=editorialBoard,http://www.journals.elsevier.com/journal-of-mathematical-analysis-and-applications/editorial-board/
J NONLINEAR SCI,journal of nonlinear science,3,journal of nonlinear science,,,http://www.springer.com/mathematics/analysis/journal/332/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/analysis/journal/332/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/analysis/journal/332?detailsPage=editorialBoard,
COMPUT METH FUNCT TH,computational methods and function theory,3,computational methods and function theory,,,http://www.springer.com/mathematics/analysis/journal/40315/PS2?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/analysis/journal/40315/PS2?detailsPage=editorialBoard,http://www.springer.com/mathematics/analysis/journal/40315/PSE?detailsPage=editorialBoard,
J FOURIER ANAL APPL,journal of fourier analysis and applications,3,journal of fourier analysis and applications,,,http://www.springer.com/mathematics/analysis/journal/41?detailsPage=editorialBoard,2,http://www.springer.com/mathematics/analysis/journal/41?detailsPage=editorialBoard,http://www.researchgate.net/journal/1069-5869_Journal_of_Fourier_Analysis_and_Applications,
CALC VAR PARTIAL DIF,calculus of variations and partial differential equations,2,calculus of variations and partial differential equations,calculus of variations and partial differential,,http://www.springer.com/mathematics/analysis/journal/526/PS2?detailsPage=editorialBoard,3,http://www.springer.com/mathematics/analysis/journal/526/PS2?detailsPage=editorialBoard,,
